state_ut,year,cases_pending_investigation_from_previous_year,cases_registered,total_cases_for_investigation,no_of_cases_investigated,cases_not_investigated_or_in_which_investigation_was_dropped_due_to_any_reason,cases_transferred_to_local_police,cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,cases_in_which_charge_sheets_were_laid,cases_pending_departmental_sanction_for_prosecution,cases_sent_up_for_trial_and_also_reported_for_departmental_action,cases_reported_for_regular_departmental_action,cases_reported_for_suitable_action,cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted,cases_pending_investigation_at_the_end_of_the_year,cases_resulted_in_recoveries_or_seizures,value_of_property_recovered_or_seized_in_rs,percentage_of_cases_charge_sheeted_to_total_cases_investigated,cases_pending_trial_from_the_previous_year,cases_sent_up_for_trial,total_cases_for_trial,cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused,cases_in_which_trials_were_completed,cases_convicted,cases_acquitted_or_discharged,cases_pending_trial_at_the_end_of_the_year,percentage_of_cases_convicted_to_cases_in_which_trials_were_completed,total_amount_of_fine_imposed_in_rs
Maharashtra,2001,505,497,1,1002,2,6,6,472,199,1,8,0,27,491,32,7993106,0,2321,472,2793,3,287,97,190,2503,0,1061500
Rajasthan,2001,1128,444,1572,1572,0,0,3,267,232,0,139,0,114,1191,216,553750,0,650,267,917,3,180,67,113,734,0,567000
Odisha,2001,330,293,623,623,0,0,1,161,29,120,157,4,155,317,121,10909932,0,1620,161,1781,7,43,9,34,1731,0,2630830
Punjab,2001,343,243,586,174,0,7,0,174,100,2,0,0,0,341,0,0,0,880,174,1054,47,133,40,93,874,0,127600
Madhya Pradesh,2001,401,231,632,632,0,0,0,143,229,0,0,0,26,234,28,18035078,0,582,143,725,7,151,52,99,567,0,5157162
Andhra Pradesh,2001,285,226,511,209,14,1,0,150,13,1,40,0,47,302,154,439817,0,526,150,676,5,41,21,20,630,0,121250
Gujarat,2001,130,199,329,194,1,0,4,183,76,6,2,0,10,91,158,2484904,0,1430,183,1613,4,97,18,79,1512,0,121500
Karnataka,2001,322,195,517,517,0,0,20,96,142,22,1,0,103,200,103,37800640,0,1127,96,1223,5,168,15,153,1050,0,50000
Kerala,2001,462,129,591,591,0,0,30,62,115,0,15,0,30,474,0,0,10.7,235,62,297,0,50,43,7,247,86,1722025
Uttar Pradesh,2001,28,122,150,122,1,0,0,51,65,25,1,0,7,155,3,21000,0,147,51,198,2,3,0,3,193,0,0
Haryana,2001,135,110,245,239,53,1,9,77,27,61,0,0,11,102,21,1045500,0,319,77,396,19,34,4,30,343,0,15000
Delhi,2001,111,70,181,181,0,0,4,89,9,44,74,0,4,84,58,116044,0,311,89,400,1,61,4,57,338,0,2000
Jammu & Kashmir,2001,308,48,356,125,0,7,0,38,35,0,45,0,0,317,0,0,30.4,391,38,429,3,33,5,28,393,15,67000
Himachal Pradesh,2001,151,45,196,196,0,3,0,30,30,25,0,2,13,149,6,43497,0,74,30,104,0,20,4,16,84,0,6500
Tamil Nadu,2001,131,43,174,174,0,0,2,5,8,0,4,3,22,130,4,4296791,0,140,5,145,0,8,0,8,137,0,0
Sikkim,2001,34,25,59,59,1,1,1,4,0,0,0,0,12,33,0,0,0,17,4,21,0,6,3,3,15,0,8000
Assam,2001,31,17,48,48,0,0,1,8,16,8,0,0,1,39,0,0,0,22,8,30,0,1,0,1,29,0,0
Bihar,2001,232,17,249,249,0,0,0,17,36,18,0,0,0,171,5,155500,0,326,17,343,2,3,3,0,338,0,0
Goa,2001,4,10,14,14,0,0,0,3,0,1,0,0,0,11,0,0,0,18,3,21,0,1,0,1,20,0,0
Chandigarh,2001,7,8,15,15,1,0,0,3,0,0,0,0,0,11,0,0,0,10,3,13,0,1,0,1,12,0,0
Uttarakhand,2001,13,4,17,13,0,0,0,2,0,1,1,2,1,13,1,500,0,6,2,8,0,2,1,1,6,0,0
Puducherry,2001,6,3,9,9,0,0,0,2,0,0,0,0,0,7,0,0,23,5,2,7,0,0,0,0,7,0,0
West Bengal,2001,25,3,28,28,0,0,0,2,0,2,0,0,0,26,1,500,0,23,2,25,0,0,0,0,25,0,40000
Mizoram,2001,0,2,2,2,0,0,0,0,1,0,0,0,0,2,0,0,0,9,0,9,1,0,0,0,8,0,0
Tripura,2001,0,2,2,2,0,2,0,0,0,0,0,0,0,2,0,13000,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2001,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,3,0,0
Manipur,2001,12,1,13,13,0,0,0,0,0,0,0,0,0,9,0,0,0,11,0,11,0,0,0,0,11,0,0
Meghalaya,2001,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,3,1,4,4,0,0,0,2,2,0,0,0,0,4,0,0,50,0,2,2,0,0,0,0,2,0,0
Andaman & Nicobar Islands,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Arunachal Pradesh,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2001,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,0,1,0,1,3,0,0
Daman & Diu,2001,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2002,491,478,969,969,2,1,1,440,198,1,5,0,18,509,9,28272096,0,2503,440,2943,11,329,88,241,2603,0,328350
Rajasthan,2002,1128,444,1572,1572,0,0,3,267,232,0,139,0,114,1191,216,753750,0,650,267,917,3,180,67,113,734,0,567000
Andhra Pradesh,2002,302,345,647,287,6,1,0,322,24,0,64,1,66,353,264,1082280,0,630,322,952,0,88,47,41,864,0,62900
Odisha,2002,317,283,600,600,0,0,5,172,48,87,99,0,120,322,98,11788835,0,1731,172,1903,8,77,7,70,1818,0,1901
Punjab,2002,341,282,623,226,46,1,0,180,103,1,0,0,0,348,0,0,0,874,180,0,9,165,80,85,0,0,213000
Madhya Pradesh,2002,234,271,505,505,0,0,0,197,185,0,2,0,39,270,37,19589932,0,567,196,763,6,129,65,58,634,0,1925492
Haryana,2002,102,268,370,199,0,0,8,99,23,64,0,0,14,262,32,67700,0,343,99,442,2,58,8,50,382,0,78000
Gujarat,2002,91,178,269,183,0,0,9,173,76,11,1,0,8,123,144,930091,0,1512,173,1685,1,104,30,74,1580,0,207200
Karnataka,2002,200,151,351,351,0,2,19,129,81,45,16,0,59,140,151,6142703,0,1050,129,1179,8,120,8,112,1051,0,16500
Kerala,2002,474,145,619,619,0,0,21,81,13,11,10,10,21,497,0,0,0,247,81,328,1,53,31,22,274,0,1716481
Uttar Pradesh,2002,155,137,292,130,0,0,0,56,135,26,26,1,12,93,0,0,0,193,56,249,0,8,1,7,241,0,0
Tamil Nadu,2002,130,97,227,227,0,0,2,14,0,106,26,8,111,116,18,405148,0,137,14,151,0,36,30,6,115,0,124200
Jharkhand,2002,65,78,143,65,0,0,0,65,21,141,0,0,0,65,65,1877992,0,80,84,164,0,0,0,0,65,0,0
Delhi,2002,84,56,140,58,1,1,1,53,12,20,74,0,5,81,44,173906,0,338,53,391,2,41,12,29,348,0,87200
Jammu & Kashmir,2002,317,56,373,122,0,5,0,43,41,0,34,0,41,290,0,0,35.2,394,43,437,1,21,1,20,415,4.5,2000
Chhattisgarh,2002,108,55,163,157,0,0,0,52,43,0,0,0,4,107,45,215572,0,159,52,211,2,61,32,29,148,0,347000
Himachal Pradesh,2002,149,33,182,182,0,0,0,23,38,17,0,0,9,150,12,12700,0,84,23,107,3,16,6,10,88,0,66000
Sikkim,2002,33,21,54,54,0,0,0,5,0,0,0,0,7,42,0,0,0,15,5,20,0,4,3,1,16,0,5000
Bihar,2002,171,12,183,183,0,0,0,8,35,8,0,0,0,174,2,9000,0,338,8,346,4,5,4,1,337,0,6000
Assam,2002,39,11,50,50,0,0,0,2,17,2,0,0,0,39,0,0,0,29,2,31,0,0,0,0,31,0,0
Goa,2002,11,10,21,21,0,0,0,5,0,3,0,0,0,16,1,10000,23.8,20,5,25,1,3,0,3,21,0,0
Manipur,2002,9,8,17,17,0,0,0,1,0,0,0,0,0,16,0,0,0,11,1,12,1,0,0,0,11,0,0
Uttarakhand,2002,13,5,18,6,0,0,0,5,0,0,0,0,1,12,4,6000,0,6,5,11,0,0,0,0,11,0,0
Chandigarh,2002,11,3,14,14,0,0,0,4,0,0,0,0,0,10,0,0,0,12,4,16,0,3,1,2,13,0,0
Puducherry,2002,7,3,10,10,0,0,0,1,1,0,0,0,0,9,0,0,0,7,1,8,0,3,0,3,5,0,0
Daman & Diu,2002,2,1,3,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2002,2,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,7,0,0
Andaman & Nicobar Islands,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
Arunachal Pradesh,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Dadra & Nagar Haveli,2002,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4,0,2,0,2,2,0,0
Lakshadweep,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2002,4,0,4,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0
Tripura,2002,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0
West Bengal,2002,26,0,26,26,0,0,0,1,0,0,0,0,0,25,0,0,0,24,1,25,1,0,0,0,24,0,0
Maharashtra,2003,509,521,1030,1030,3,3,1,479,237,0,2,0,44,520,154,9114731,0,2602,479,3081,5,396,113,283,2680,0,404600
Rajasthan,2003,1155,336,1491,1491,0,0,0,228,350,0,118,0,95,1210,214,710975,0,837,228,1065,0,143,48,95,922,0,439200
Andhra Pradesh,2003,353,328,681,278,5,0,0,181,37,23,41,0,30,389,256,1149625,0,864,181,1045,4,98,41,57,943,0,131000
Odisha,2003,322,302,624,624,0,0,3,280,60,97,74,0,63,298,144,96480401,1818,280,2098,2098,13,64,14,50,2021,0,25750
Punjab,2003,341,282,623,226,46,1,0,180,103,1,0,0,0,348,0,0,0,874,180,0,9,165,80,85,0,0,213000
Kerala,2003,497,210,707,707,0,2,22,106,23,4,16,0,9,4,4,0,0,274,106,380,2,56,22,34,322,0,1144500
Madhya Pradesh,2003,270,210,480,480,0,0,0,175,191,0,12,0,40,265,24,16250661,0,634,175,809,4,105,42,59,508,0,0
Gujarat,2003,123,190,313,216,0,0,0,139,28,3,1,0,3,95,165,714640,0,1580,139,1719,3,133,47,86,1583,0,313750
Haryana,2003,262,152,414,285,0,0,9,180,34,142,0,0,26,228,41,128500,0,382,180,562,3,63,18,45,496,0,100400
